IndicatorCode,SpatialDimension,SpatialDimensionValueCode,TimeDimension,TimeDim,Value,NumericValue,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd,Title,ParentDimension,ParentCode,ParentTitle
MALARIA_1STLINE_TREATED,COUNTRY,SDN,YEAR,2019,4 297 167,4297167.0,2022-02-10T13:20:16Z,2019,01-01-19,31-12-19,Sudan,REGION,EMR,Eastern Mediterranean
MALARIA_1STLINE_TREATED,COUNTRY,SDN,YEAR,2020,4 863 826,4863826.0,2022-02-10T13:20:17Z,2020,01-01-20,31-12-20,Sudan,REGION,EMR,Eastern Mediterranean
MALARIA_1STLINE_TREATED,COUNTRY,SDN,YEAR,2018,4 195 600,4195600.0,2022-02-10T13:20:18Z,2018,01-01-18,31-12-18,Sudan,REGION,EMR,Eastern Mediterranean
MALARIA_1STLINE_TREATED,COUNTRY,SOM,YEAR,2020,23 978,23978.0,2022-02-10T13:20:16Z,2020,01-01-20,31-12-20,Somalia,REGION,EMR,Eastern Mediterranean
MALARIA_1STLINE_TREATED,COUNTRY,SOM,YEAR,2018,51 819,51819.0,2022-02-10T13:20:18Z,2018,01-01-18,31-12-18,Somalia,REGION,EMR,Eastern Mediterranean
MALARIA_1STLINE_TREATED,COUNTRY,SOM,YEAR,2019,38 112,38112.0,2022-02-10T13:20:19Z,2019,01-01-19,31-12-19,Somalia,REGION,EMR,Eastern Mediterranean
MALARIA_1STLINE_TREATED,COUNTRY,BTN,YEAR,2018,54,54.0,2022-02-10T13:20:16Z,2018,01-01-18,31-12-18,Bhutan,REGION,SEAR,South-East Asia
MALARIA_1STLINE_TREATED,COUNTRY,BTN,YEAR,2019,235,235.0,2022-02-10T13:20:18Z,2019,01-01-19,31-12-19,Bhutan,REGION,SEAR,South-East Asia
MALARIA_1STLINE_TREATED,COUNTRY,BTN,YEAR,2020,54,54.0,2022-02-10T13:20:19Z,2020,01-01-20,31-12-20,Bhutan,REGION,SEAR,South-East Asia
MALARIA_1STLINE_TREATED,COUNTRY,IDN,YEAR,2018,133 860,133860.0,2022-02-10T13:20:16Z,2018,01-01-18,31-12-18,Indonesia,REGION,SEAR,South-East Asia
MALARIA_1STLINE_TREATED,COUNTRY,IDN,YEAR,2019,234 381,234381.0,2022-02-10T13:20:17Z,2019,01-01-19,31-12-19,Indonesia,REGION,SEAR,South-East Asia
MALARIA_1STLINE_TREATED,COUNTRY,IDN,YEAR,2020,241 181,241181.0,2022-02-10T13:20:18Z,2020,01-01-20,31-12-20,Indonesia,REGION,SEAR,South-East Asia
MALARIA_1STLINE_TREATED,COUNTRY,IND,YEAR,2019,338 494,338494.0,2022-02-10T13:20:16Z,2019,01-01-19,31-12-19,India,REGION,SEAR,South-East Asia
MALARIA_1STLINE_TREATED,COUNTRY,IND,YEAR,2020,186 532,186532.0,2022-02-10T13:20:17Z,2020,01-01-20,31-12-20,India,REGION,SEAR,South-East Asia
MALARIA_1STLINE_TREATED,COUNTRY,IND,YEAR,2018,29 453,29453.0,2022-02-10T13:20:19Z,2018,01-01-18,31-12-18,India,REGION,SEAR,South-East Asia
MALARIA_1STLINE_TREATED,COUNTRY,THA,YEAR,2018,4 411,4411.0,2022-02-10T13:20:16Z,2018,01-01-18,31-12-18,Thailand,REGION,SEAR,South-East Asia
MALARIA_1STLINE_TREATED,COUNTRY,THA,YEAR,2020,3 341,3341.0,2022-02-10T13:20:17Z,2020,01-01-20,31-12-20,Thailand,REGION,SEAR,South-East Asia
MALARIA_1STLINE_TREATED,COUNTRY,THA,YEAR,2019,3 904,3904.0,2022-02-10T13:20:18Z,2019,01-01-19,31-12-19,Thailand,REGION,SEAR,South-East Asia
MALARIA_1STLINE_TREATED,COUNTRY,CHN,YEAR,2019,2 487,2487.0,2022-02-10T13:20:16Z,2019,01-01-19,31-12-19,China,REGION,WPR,Western Pacific
MALARIA_1STLINE_TREATED,COUNTRY,CHN,YEAR,2020,1 051,1051.0,2022-02-10T13:20:18Z,2020,01-01-20,31-12-20,China,REGION,WPR,Western Pacific
MALARIA_1STLINE_TREATED,COUNTRY,KHM,YEAR,2020,9 335,9335.0,2022-02-10T13:20:16Z,2020,01-01-20,31-12-20,Cambodia,REGION,WPR,Western Pacific
MALARIA_1STLINE_TREATED,COUNTRY,KHM,YEAR,2019,32 197,32197.0,2022-02-10T13:20:17Z,2019,01-01-19,31-12-19,Cambodia,REGION,WPR,Western Pacific
MALARIA_1STLINE_TREATED,COUNTRY,KHM,YEAR,2018,60 067,60067.0,2022-02-10T13:20:18Z,2018,01-01-18,31-12-18,Cambodia,REGION,WPR,Western Pacific
MALARIA_1STLINE_TREATED,COUNTRY,KOR,YEAR,2019,196,196.0,2022-02-10T13:20:16Z,2019,01-01-19,31-12-19,Republic of Korea,REGION,WPR,Western Pacific
MALARIA_1STLINE_TREATED,COUNTRY,KOR,YEAR,2020,386,386.0,2022-02-10T13:20:19Z,2020,01-01-20,31-12-20,Republic of Korea,REGION,WPR,Western Pacific
MALARIA_1STLINE_TREATED,COUNTRY,LAO,YEAR,2020,3 498,3498.0,2022-02-10T13:20:17Z,2020,01-01-20,31-12-20,Lao People's Democratic Republic,REGION,WPR,Western Pacific
MALARIA_1STLINE_TREATED,COUNTRY,LAO,YEAR,2018,888031.20%,8880.31234,2022-02-10T13:20:17Z,2018,01-01-18,31-12-18,Lao People's Democratic Republic,REGION,WPR,Western Pacific
MALARIA_1STLINE_TREATED,COUNTRY,LAO,YEAR,2019,6 551,6551.0,2022-02-10T13:20:18Z,2019,01-01-19,31-12-19,Lao People's Democratic Republic,REGION,WPR,Western Pacific
MALARIA_1STLINE_TREATED,COUNTRY,VNM,YEAR,2018,4 525,4525.0,2022-02-10T13:20:17Z,2018,01-01-18,31-12-18,Viet Nam,REGION,WPR,Western Pacific
MALARIA_1STLINE_TREATED,COUNTRY,VNM,YEAR,2019,5 892,5892.0,2022-02-10T13:20:17Z,2019,01-01-19,31-12-19,Viet Nam,REGION,WPR,Western Pacific
MALARIA_1STLINE_TREATED,COUNTRY,VNM,YEAR,2020,1 733,1733.0,2022-02-10T13:20:17Z,2020,01-01-20,31-12-20,Viet Nam,REGION,WPR,Western Pacific
MALARIA_1STLINE_TREATED,COUNTRY,VUT,YEAR,2019,571,571.0,2022-02-10T13:20:17Z,2019,01-01-19,31-12-19,Vanuatu,REGION,WPR,Western Pacific
MALARIA_1STLINE_TREATED,COUNTRY,VUT,YEAR,2020,496,496.0,2022-02-10T13:20:17Z,2020,01-01-20,31-12-20,Vanuatu,REGION,WPR,Western Pacific
